plate,legal,personalize,meaning
LMTHANG,0,1,"LMT=LICK MY TAINT, LICK MY TWAT.(or Thing) URBAN DICTIONARY (52 UP, 18 UP) Ani shows a BMW UT and a Subaru SW"
LOW WIRE,0,1,wire=amphetamines
LUV CBDS,0,1,"CBD=CANNABIDIOL, A COMPOUND OF MARIJUANA LIKE THC."
MAASSSV,0,1,"MASSIVE, COULD HAVE SEXUAL CONNOTATIONS… HAS A 2 DOOR 2015 DODGE"
MACHN 22,0,1,COULD MEAN A .22 MACHINE GUN
MACTEP,0,1,"MACTEP=RUSSIAN WORD FOR MASTER, DEFINITION ON URBAN DICTIONARY SOUNDS LIKE S&M TYPE MASTER"
MEVALE8,0,1,urban dictionary says 'me vale' means I don’t give a fuck. Google translates it as I do not care…
MGADETH,0,1,"pulled for death but almost didn’t, it is a band"
M KILER,0,1,KILLER
MRDA RAM,0,1,murder ram
MTL HMR,0,1,"THERE IS A MUSIC MAGAZINE CALLED ""METAL HAMMER"". I SAW A SEXUAL CONNOTATION. NO HUMMER ON ANI, HAMMER CAN MEAN PENIS"
MWAVEEY,0,1,"URBAN DICTIONARY SAYS 'WAVEY' MEANS VERY DRUNK OR HIGH, OPPOSITE OF SOBER. 456 UP 194 DOWN"
M8H8S,0,1,hate
NAVY FED,0,1,"FED=A FEDERAL AGENT OR OFFICAL, ESPECIALLY A MEMBER OF THE FBI. OR THE POLICE."
NCHEN6A,0,1,CHENGA=FUCK IN SPANISH (ALSO SUBSTITUTING BECAUSE ALREADY UNACCEPTABLE WITH THE G)
OINK B8,0,1,"oink=pig=cop bait, might mean a fast car being bait for police"
O16BCAT,0,1,"PULLED FOR CAT, NO CAT CAR ON ANI. HAS A 2016 BMW"
PAKOMER,0,1,comer=eat
PAYBVCK,0,1,PAYBACK=AN ACT OF REVENGE OR RETALLIATION
PCHECHI,0,1,urban dictionary says pachichi=an object or body part being shriveled or saggy and the examples are breasts and penis… PCHICHI is already unacceptable
PINK 64,0,1,PINK=VAGINA. HAS A 64 VW ON ANI
PNKMOPR,0,1,PINK=VAGINA
QUIK II,0,1,"QUICKIE CAN HAVE SEXUAL CONNOTATIONS, CUSTOMER DOES HAVE A LOT OF CHEVYS"
REDS 43,1,1,"HAS A 1943 JEEP, PULLED FOR RED--GANG COLOR"
ROTH415,0,1,415=SAN FRANCISCO AREA CODE
SHIV OO7,0,1,shiv is a knife or something possibly homemade that you shank someone with
SHTBABE,0,1,"CUSTOMER LAST NAME IS SHOOTER, COULD BE READ AS ""SHIT, BABE"" OR SHOT BABE"
SKRAPS,0,1,"A Norteño derogatorily refers to a Sureño as a ""scrap"" (Hispanicized scrapa) or ""Sur rat"" Customer last name is Sparks and SCRAPS is currently registered"
SNL SKWD,1,1,SCREWED
SOEZEEE,0,1,EASY CAN HAVE SEXUAL CONNOTATIONS
SSHNTRR,0,1,"THREATENING, SS HUNTER"
SSS 88,0,1,88=HATE SYMBOL NO 88 CAR ON ANI
USTLLH8,0,1,hate
WET TBSS,0,1,"wet can have sexual connotations, ani shows a chevy UT"
YKYMF,0,1,yipee ki-yay motherfucker
YLA GANJ,0,1,"YELLOW GANJA, DRUGS…"
YOU FOOL,0,1,CONFRONTATIONAL
ZUGZUGZ,1,1,zugzug=sex from the old movie Caveman
ZZZ1969,0,1,no 69 car on ani
1ARDNUT,0,1,one hard nut. Does have a toyota truck on ani
1BADMTF,0,1,ONE BAD MOTHERFUCKER
2DEEPNU,0,1,"too deep in you, sexual connotations"
2OO6GTH,0,1,"GTH=GO TO HELL, NO 2006 CAR ON ANI"
2OO7GTH,0,1,"GTH=GO TO HELL, NO 2007 CAR ON ANI"
4 REDDD,0,1,RED=GANG COLOR
8TNGBBY,1,1,ate?
8UTT5EX,0,1,BUTT SEX
818DIPN,0,1,"818 AREA CODE, LOS ANGELES"
#UKNENM,0,1,"FUCKEN? (HAND SYMBOL, F FOR FIVE?)"
FU$XIN,0,1,FU=FUCK YOU. IT IS HIS GIVEN NAME
KIKI$77,0,1,"kiki=Tagalog, means vagina"
N8$H8,0,1,NATE LOVES HATE
HLHA&18,0,1,18=HATE SYMBOL
TROL&DF,0,1,"TROL is southern slang for police (patrol) DF=Mexico City (from Distrito Federal, the capital of Mexico)"
DMFESQ,0,1,"DMF=DUMB MOTHERFUCKER, BUT IT IS HIS INITIALS."
SPYMAN,1,1,SPY=CIA=FEDERAL AGENT
BALDRYZ,1,1,BALLS.. DRY BALLS… LAST NAME IS BALDRY
B52RBS,1,1,vet plate but pulled for b52 bomber and RBS does mean radar bomb scored
BASAHLQ,0,1,basah=Indonisian and Malay word for 'wet'
BB BLUE,1,1,BLUE=GANG COLOR
BLOWNV8,1,1,"BLOWN, SEXUAL CONNOTATIONS"
BLUISH,1,1,BLUE=GANG COLOR
BLU SKYE,1,1,BLUE=GANG COLOR
BLWNBRA,0,1,"BLOWN, BRO"
CARLEY8,1,1,"ATE, CUSTOMER NAME ISNT CARLEY"
CZYSLVI,1,1,CRAZY
GASSLUT,0,1,gas slut
IZZA BLU,0,1,BLUE=GANG COLOR
JET BLU,1,1,BLUE=GANG COLOR
KEEKEEE,0,1,"kiki=Tagalog, means vagina"
NADACOP,0,1,NOT A COP… NOTACOP IS ALREADY UNACCEPTABLE
NTNBTWT,0,1,nothing but white? Twt could be twat
OTW2FYG,0,1,on the way to fuck your girl
QE GUEY,0,1,"guey=in Spanish, cuckold or asshole, QUE GUEY is unacceptable"
QVO ESE,0,1,"QVO=qué hubo, apparently like what's up in Spanish slang. But 'ese' Urban Dictionary says means the letter S which stands for Surenos gang…"
REDBIT2,1,1,RED=GANG COLOR
SMARTAF,0,1,SMART AS FUCK
THESY14,0,1,"14=hate symbol, no 2014 car on ani"
TRDPRO T,0,1,TRD looks like turd. Has Toyota truck
TRIGGA,0,1,TRIGGER AS IN GUN
TT O15,1,1,"TT=PENIS IN TAGALOG. I did an ani on the company Terrific Tours and they have at least 3 plates already with similar configurations (o11, o12, and oo1)"
UGASHKA,1,1,you gash or ooga chaka
WELL666,1,1,the devil 666
WHTWSHD,0,1,Per Urban Dictionary: When a person who isn't white forgets their culture and acts like a white person.
X32TTUB,0,1,backwards… butt sex
6TOOL6,0,1,"TOOL IS A FOOL, A PENIS OR THE BAND…"
14 STFB,1,1,"14=hate symbol, has 2014 Harley. Harley makes a Softail Fat Boy… STFB can mean Slap that Fucking Bitch but only 24 up (1 down) on Urban Dictionary."
BL STL,1,1,blue=gang color
BLUMENE,1,1,BLUE=GANG COLOR
HIPFISH,0,1,FISH=FUCK IT SHIT HAPPENS
SPYGIRL,1,1,"SPY=CIA=FEDERAL AGENT. ORDERED BY SAME CUSTOMER AS 'SPYMAN'. There is a mix of unacceptable, expired and current 'spy' plates on record…"
DIE HURE,0,1,DIE WHORE IN GERMAN
H8 NONE,0,1,HATE NO ONE
TTYCITY,0,1,TITTY CITY
IDG2FX,0,1,I DON’T GIVE 2 FUCKS
YOJ88,0,1,88-HITLER
GOT2B18,0,1,18-HITLER
NSTY G,0,1,NASTY G
RAES CAT,0,1,CUSTOMER IS RACHEL. RACHELS CAT
88CKS88,0,1,88-HITLER
BEAR BK,0,1,SEX WITH NO CONDOM
BLUGOON,0,1,BLUE-GANG
B8B88B8,0,1,88-HITLER
CREDO18,0,1,18-HITLER
CREDO88,0,1,88-HITLER
DIUPSCM,0,1,DIE UP SCUM
RSTONED,0,1,STONED-WEED. ROLLING STONES.
STBN WGN,0,1,STABBIN WAGON
TACO422,0,1,CUSTOMER HAS A TOYOTA TACOMA
WHTCRKN,0,1,WHITE CRACKIN… RACIAL?
69VW BUS,0,1,NO '69 VEHICLE CONFIRMED
69VW RAG,0,1,NO '69 VEHICLE CONFIRMED
A BMF GT,0,1,A BAD MOTHER FUCKER GT
S12 88,1,1,88-HITLER
MAMAG13,0,1,13-GANG
2KUULO,0,1,KULO… ASS
DOMINUS,0,1,LATIN WORD FOR MASTER OR OWNER
LOCL 13,0,1,13-GANG NUMBER
Nov-88,0,1,88-HITLER RELATED
RSG 13,0,1,13-GANG NUMBER
1KING FN,1,1,FN-FUCKEN OR FUN?
57 STUD,0,1,STUD IS MARKED UNACCEPTABLE?
69 SASHA,0,1,NO 69 CAR
RED TORO,1,1,RED-GANG COLOR
GUN SMKE,0,1,GUN?
KILRRDS,0,1,KILL?
YRAIZ,0,1,YOUR ASS
3O INCHR,0,1,SEXUAL
4GUNN2,0,1,GUN?
BALZINI,0,1,BALLS IN 1?
BLQ BTY,0,1,BLACK BETTY CAN BE SLANG FOR HERION.
BOXN RN,0,1,BOX IS SLANG FOR VAGINA
GGG 69,0,1,NO 69 CAR
KBOMB5K,0,1,BOMB?
LZYJ8O5,0,1,805 PASO ROBLES AREA CODE
L8RH8RZ,0,1,HATE?
OG CALI,0,1,OG-ORIGINAK GANGSTER
OOKINAM,0,1,"TAGALOG-OKI'S NICENES. URBAND SAYS ""PUSSY OF MOTHER"" AND 1 THING ON GOOGLE SAYS ""PUSSY OF MOTHER""."
RAM YOU,0,1,SEXUAL. DOES HAVE A DODGE TRUCK
SHHOOTS,0,1,"SHOOT? ""SHOOT: IS CURRENT"
T11111T,0,1,"DOES IT LOOK LIKE ""TIT""?"
805QWLT,0,1,805 SAN LUIS OPISBO AREA CODE
8RYNT 24,0,1,"8 AND 24 IS KOBE'S JERSEY NUMBERS AND HE HIS RETIRING……BUT THIS IS OUT THERE WITH ""BRYNT 24"" SO PULL FOR SUBSTUTING?"
$ OVRH8,1,1,HATE?
B8ME13,0,1,13-GANG NUMBER NO 2013 CAR
P3RCNT,0,1,"""PERCNT"" IS NOT OUT THERE SO PUL FOR SUB OR NOT? I TOOK ITAS 3 PERCENT SAYING."
BALLR22,0,1,BALLER?
BLK INDN,1,1,RACIAL?
BYTME13,0,1,13-GANG NUMBER
FKNCONE,0,1,FUCKEN CONE
KILLA,0,1,KILL?
SHOVU,0,1,SHOVE YOU?
BCHWRTR,0,1,3BEACH OR BITCH
SUP BRA,1,1,BRA? WHAT HE SAYS IS TRUE
OGVWRHD,0,1,OG-ORIGINAL GANGSTER
PIA2O15,0,1,PIA-PAIN IN ASS. NO 2015 CAR
RAMS FN,1,1,FN-FAN-FUN OR FUCKEN
THG CAFÉ,0,1,THUG-GANG RELATED
5TENJDM,0,1,510-BAY AREA CODE
GR8HIGH,0,1,
TBANG,0,1,"BAND-SEXUAL PART OF THEIR NAME IS ""BAMBANG"""
666EVIL,1,1,666?
BRAAAP7,0,1,BRAP IS MARKED UNACCEPTABLE? URBAN SAYS IT IS THE SOUND OF A GUNSHOT
FU JOKER,0,1,FU-FUCK YOU
KYZ HOE,0,1,HOE-WHORE. NO TAHOE ON RECORD
LNG GUNR,0,1,GUNNER?
MINIPIG,0,1,PIG-?
XLBIG,0,1,XL BIG-PENIS?
SMOKMUP,0,1,BURN RUBBER OR LIGHT UP A JOINT
PSI,0,1,PSI-PUSSY?
NCK SNPR,0,1,NECK SNAPPER
MS 7O7,0,1,707 NAPPA AREA CODE
PHRED,1,1,"RED-GANG COLOR OR ""FRED""?"
PSI4H2O,1,1,PSI-PUSSY?
TRDTUNR,0,1,TRD-WE USUALLY PULL FOR RETARD OR TURD. NO TOYOTA ON RECORD.
WHERE TA,1,1,TA-TITS OR ASS
WHIP EM,0,1,WHIP LIKE SPANK?
WSMFKN6,0,1,FKN-FUCKEN
5MAGNUM,0,1,MAGNUM CAN BE A CONDOM OR  A GUN? Has 2 CHEVYS ON RECORD
8MB 777,0,1,"I THINK HE IS TRYING TO DO A OLD AUTO PLATE 8 AS A ""B"". HIS INTIALS ARE ""LG"""
BLUE LUV,1,1,BLUE
DOPE SHT,0,1,DOPE SHIT
DOPE 5OH,0,1,DOPE COULD MEAN NICE OR COULD MEAN DRUGS
EIGHTY8,0,1,88 HITLER REFERENCE
FINFN13,0,1,13 GANG REFERENCE
GETTNSX,0,1,GETTING SEX
HII H8TR,0,1,HI HATER
HO 888,0,1,HO AS IN WHORE
H77 GATO,0,1,GATO MEANS CAT
KIKROX8,0,1,KICK ROCKS
KLM,0,1,LOOKS LIKE KILLEM
KLPAPAG,0,1,KILL PAPA G G AS IN GANGSTER KILL
KLYNSFX,0,1,LOOKS LIKE KILLING OR COULD BE CLEAN AS FUCK
LILJO13,0,1,13 GANG REFERENCE
MFI73S,0,1,MF LOOKS LIKE MOTHER FUCKER
NCHB14D,0,1,14 GANG REFERENCE
RSTNPCE,0,1,REST IN PEACE
TATA 48,0,1,TATA AS IN BREAST
VR38 510,1,1,510 AREA CODE
XB CRAZY,1,1,CRAZY
XTR88,0,1,88 HITLER REFERENCE
1SIZEUP,1,1,ALSO LOOKS LIKE I  SIZE UP SEXUAL REFERENCE
2ND2GUN,0,1,GUN
3DRTY5 M,0,1,DIRTY
415RMDL,0,1,415 AREA CODE
5150SRT,1,1,5150 CRAZY
O7 KITY,0,1,KITTY
BAMBA G,0,1,G AS IN GANGSTER
LMAO240,0,1,LAUGHING MY ASS OFF
RNL DR G,0,1,G AS IN GANGSTER
LOUDXAF,0,1,LOUD AS FUCK
415VICT,0,1,415 AREA CODE
BRO WTF,0,1,BRO WHAT THE FUCK
TRU BLEU,1,1,TRU BLUE
